,Date,Execution Group,Volume $m,PnL $k ($/M),PnL ($/M),week_end_str,week_end,realized_vol,vol_bucket,vol_pct,regime_penalty,neg_week,neg_streak,pct_change,large_drop,drawdown,drawdown_penalty,score_neg_week,score_streak,score_large_drop,score_drawdown,score_regime,risk_score,rolling_4w_pnl,median_pnl,structural_break,risk_flag
43,2025-09-14,Don't B book,2471.1,294.5,119,,2025-09-14,0.052047756014870473,Low,0.15208333333333332,0.0,0,0.0,0.10185185185185186,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,98.75,84.5,False,Normal
51,2025-09-21,Don't B book,2604.4,159.9,61,,2025-09-21,0.051538102904751144,Low,0.11875,0.0,0,0.0,-0.4873949579831933,0,-0.48739495798319327,0.48739495798319327,0,0.0,0,48.739495798319325,0.0,12.184873949579831,88.75,84.5,False,Normal
59,2025-09-28,Don't B book,2272.5,142.3,63,,2025-09-28,0.08544714786911968,Med-Low,0.41875,0.0,0,0.0,0.032786885245901676,0,-0.47058823529411764,0.47058823529411764,0,0.0,0,47.05882352941176,0.0,11.76470588235294,87.75,84.5,False,Normal
67,2025-10-05,Don't B book,2057.5,184.5,90,,2025-10-05,0.027786338240168466,Low,0.01875,0.0,0,0.0,0.4285714285714286,0,-0.24369747899159663,0.24369747899159663,0,0.0,0,24.369747899159663,0.0,6.092436974789916,83.25,84.5,True,Normal
75,2025-10-12,Don't B book,2945.9,192.5,65,,2025-10-12,0.2080789483686624,High,0.9520833333333333,0.0,0,0.0,-0.2777777777777778,0,-0.453781512605042,0.453781512605042,0,0.0,0,45.378151260504204,0.0,11.344537815126051,69.75,84.5,True,Normal
83,2025-10-19,Don't B book,2139.2,150.0,70,,2025-10-19,0.13074188660283684,Med-High,0.71875,0.0,0,0.0,0.07692307692307687,0,-0.4117647058823529,0.4117647058823529,0,0.0,0,41.17647058823529,0.0,10.294117647058822,72.0,84.5,True,Normal
91,2025-10-26,Don't B book,3786.5,520.1,137,,2025-10-26,0.10221926144940825,Med-Low,0.48541666666666666,0.0,0,0.0,0.9571428571428571,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,90.5,84.5,False,Normal
99,2025-11-02,Don't B book,5070.5,468.8,92,,2025-11-02,0.12568346092075222,Med-High,0.6854166666666667,0.0,0,0.0,-0.3284671532846716,0,-0.3284671532846715,0.3284671532846715,0,0.0,0,32.846715328467155,0.0,8.211678832116789,91.0,84.5,False,Normal
107,2025-11-09,Don't B book,4596.9,372.2,81,,2025-11-09,0.11974632839262213,Med-High,0.5854166666666667,0.0,0,0.0,-0.11956521739130432,0,-0.40875912408759124,0.40875912408759124,0,0.0,0,40.87591240875913,0.0,10.218978102189782,95.0,84.5,False,Normal
115,2025-11-16,Don't B book,4238.2,326.7,77,,2025-11-16,0.1803096301382568,High,0.8854166666666666,0.0,0,0.0,-0.04938271604938271,0,-0.43795620437956206,0.43795620437956206,0,0.0,0,43.79562043795621,0.0,10.948905109489052,96.75,84.5,False,Normal
121,2025-11-23,Don't B book,4030.0,338.7,84,,2025-11-23,0.16453235188057275,High,0.8520833333333333,0.0,0,0.0,0.09090909090909083,0,-0.38686131386861317,0.38686131386861317,0,0.0,0,38.68613138686132,0.0,9.67153284671533,83.5,84.5,True,Normal
129,2025-11-30,Don't B book,3530.0,329.1,93,,2025-11-30,0.07060263901133174,Med-Low,0.28541666666666665,0.0,0,0.0,0.1071428571428572,0,-0.32116788321167883,0.32116788321167883,0,0.0,0,32.11678832116788,0.0,8.02919708029197,83.75,84.5,True,Normal
137,2025-12-07,Don't B book,5510.0,500.0,91,,2025-12-07,0.05395725477550715,Low,0.18541666666666667,0.0,0,0.0,-0.021505376344086002,0,-0.3357664233576642,0.3357664233576642,0,0.0,0,33.57664233576642,0.0,8.394160583941606,86.25,84.5,False,Normal
145,2025-12-14,Don't B book,5020.0,249.6,50,,2025-12-14,0.10312133231479426,Med-High,0.51875,0.0,0,0.0,-0.4505494505494505,0,-0.635036496350365,0.635036496350365,0,0.0,0,63.503649635036496,0.0,15.875912408759124,79.5,84.5,True,Normal
153,2025-12-21,Don't B book,4030.0,381.3,95,,2025-12-21,0.13353524112466286,High,0.7854166666666667,0.0,0,0.0,0.8999999999999999,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,82.25,84.5,True,Normal
161,2025-12-28,Don't B book,2360.0,147.0,62,,2025-12-28,0.04515618822067395,Low,0.052083333333333336,0.0,0,0.0,-0.34736842105263155,0,-0.3473684210526316,0.3473684210526316,0,0.0,0,34.73684210526316,0.0,8.68421052631579,74.5,84.5,True,Normal
169,2026-01-04,Don't B book,3680.0,417.2,113,,2026-01-04,0.06157134959244902,Low,0.2520833333333333,0.0,0,0.0,0.8225806451612903,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,80.0,84.5,True,Normal
177,2026-01-11,Don't B book,5360.0,170.0,32,,2026-01-11,0.0725203710624446,Med-Low,0.35208333333333336,0.0,0,0.0,-0.7168141592920354,1,-0.7168141592920354,0.7168141592920354,0,0.0,100,71.68141592920354,0.0,32.92035398230088,75.5,84.5,True,Monitor
185,2026-01-18,Don't B book,4610.0,418.1,91,,2026-01-18,0.0495294057848957,Low,0.08541666666666667,0.0,0,0.0,1.84375,0,-0.19469026548672566,0.19469026548672566,0,0.0,0,19.469026548672566,0.0,4.867256637168142,74.5,84.5,True,Normal
195,2026-01-25,Don't B book,4589.0,233.0,51,,2026-01-25,0.22212190880040766,High,0.9854166666666667,0.0,0,0.0,-0.43956043956043955,0,-0.5486725663716814,0.5486725663716814,0,0.0,0,54.86725663716814,0.0,13.716814159292035,71.75,84.5,True,Normal
203,2026-02-01,Don't B book,4535.0,288.9,64,,2026-02-01,0.06126546435243693,Low,0.21875,0.0,0,0.0,0.2549019607843137,0,-0.4336283185840708,0.4336283185840708,0,0.0,0,43.36283185840708,0.0,10.84070796460177,59.5,84.5,True,Normal
211,2026-02-08,Don't B book,3562.0,291.8,82,,2026-02-08,0.20442884456306462,High,0.91875,0.0,0,0.0,0.28125,0,-0.2743362831858407,0.2743362831858407,0,0.0,0,27.43362831858407,0.0,6.8584070796460175,72.0,84.5,True,Normal
219,2026-02-15,Don't B book,4278.0,299.3,70,,2026-02-15,0.12302020049365062,Med-High,0.6520833333333333,0.0,0,0.0,-0.14634146341463417,0,-0.3805309734513274,0.3805309734513274,0,0.0,0,38.05309734513274,0.0,9.513274336283185,66.75,84.5,True,Normal
227,2026-02-22,Don't B book,4050.0,487.2,120,,2026-02-22,0.07067643705287521,Med-Low,0.31875,0.0,0,0.0,0.7142857142857142,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,84.0,84.5,True,Normal
235,2026-03-01,Don't B book,2195.0,188.9,86,,2026-03-01,0.13198920424946017,Med-High,0.7520833333333333,0.0,0,0.0,-0.2833333333333333,0,-0.2833333333333333,0.2833333333333333,0,0.0,0,28.333333333333332,0.0,7.083333333333333,89.5,84.5,False,Normal
4,2025-08-10,Signal Follow,15.4,3.2,208,,2025-08-10,0.12257981537870892,Med-High,0.61875,0.0,0,0.0,,0,,,0,0.0,0,,0.0,,,54.5,False,Monitor
12,2025-08-17,Signal Follow,48.1,2.6,54,,2025-08-17,0.09254451136717295,Med-Low,0.45208333333333334,0.0,0,0.0,-0.7403846153846154,1,,,0,0.0,100,,0.0,,,54.5,False,Monitor
20,2025-08-24,Signal Follow,35.7,8.0,224,,2025-08-24,0.13407696413924775,High,0.81875,0.0,0,0.0,3.148148148148148,0,,,0,0.0,0,,0.0,,,54.5,False,Monitor
28,2025-08-31,Signal Follow,62.3,0.4,6,,2025-08-31,0.0760143646578358,Med-Low,0.3854166666666667,0.0,0,0.0,-0.9732142857142857,1,-0.9732142857142857,0.9732142857142857,0,0.0,100,97.32142857142857,0.0,39.33035714285714,123.0,54.5,False,Monitor
36,2025-09-07,Signal Follow,25.3,-6.1,-242,,2025-09-07,0.11254485179518908,Med-High,0.5520833333333334,0.0,1,1.0,-41.333333333333336,1,-2.080357142857143,1.0,100,33.33333333333333,100,100.0,0.0,63.33333333333333,10.5,54.5,True,Implement Changes
44,2025-09-14,Signal Follow,53.5,8.3,155,,2025-09-14,0.052047756014870473,Low,0.15208333333333332,0.0,0,0.0,-1.640495867768595,1,-0.3080357142857143,0.3080357142857143,0,0.0,100,30.80357142857143,0.0,22.700892857142858,35.75,54.5,True,Normal
52,2025-09-21,Signal Follow,52.4,2.2,42,,2025-09-21,0.051538102904751144,Low,0.11875,0.0,0,0.0,-0.7290322580645161,1,-0.8125,0.8125,0,0.0,100,81.25,0.0,35.3125,-9.75,54.5,True,Monitor
60,2025-09-28,Signal Follow,47.2,2.9,61,,2025-09-28,0.08544714786911968,Med-Low,0.41875,0.0,0,0.0,0.45238095238095233,0,-0.7276785714285714,0.7276785714285714,0,0.0,0,72.76785714285714,0.0,18.191964285714285,4.0,54.5,True,Normal
68,2025-10-05,Signal Follow,43.9,3.8,87,,2025-10-05,0.027786338240168466,Low,0.01875,0.0,0,0.0,0.42622950819672134,0,-0.6116071428571429,0.6116071428571429,0,0.0,0,61.16071428571429,0.0,15.290178571428573,86.25,54.5,False,Normal
76,2025-10-12,Signal Follow,28.2,-1.6,-57,,2025-10-12,0.2080789483686624,High,0.9520833333333333,0.0,1,1.0,-1.6551724137931034,1,-1.2544642857142858,1.0,100,33.33333333333333,100,100.0,0.0,63.33333333333333,33.25,54.5,True,Implement Changes
84,2025-10-19,Signal Follow,59.2,14.1,238,,2025-10-19,0.13074188660283684,Med-High,0.71875,0.0,0,0.0,-5.175438596491228,1,0.0,0.0,0,0.0,100,0.0,0.0,15.0,82.25,54.5,False,Normal
92,2025-10-26,Signal Follow,392.8,55.7,142,,2025-10-26,0.10221926144940825,Med-Low,0.48541666666666666,0.0,0,0.0,-0.40336134453781514,0,-0.40336134453781514,0.40336134453781514,0,0.0,0,40.33613445378151,0.0,10.084033613445378,102.5,54.5,False,Normal
100,2025-11-02,Signal Follow,255.3,37.0,145,,2025-11-02,0.12568346092075222,Med-High,0.6854166666666667,0.0,0,0.0,0.021126760563380254,0,-0.3907563025210084,0.3907563025210084,0,0.0,0,39.075630252100844,0.0,9.768907563025211,117.0,54.5,False,Normal
